section,lat,lng,population,food_beverage,retail_outlet,service_business,entertainment,educational_inst,corporate_office,financial_inst,shopping_mall,automotive,healthcare,transportation,amenity_diversity_index,business_type
Section 1,3.0671,101.5017,1664,42,13,7,4,39,2,7,0,9,4,20,1.9114,Leisure & Lifestyle
Section 2,3.0718,101.5084,1991,53,32,33,6,45,25,7,3,15,6,20,2.124,Leisure & Lifestyle
Section 3,3.0742,101.5097,1332,60,43,48,7,37,33,7,9,17,9,21,2.1644,Retail & Commerce
Section 4,3.0059,101.5511,851,32,10,11,2,5,3,0,0,23,2,6,1.8062,Community Services
Section 5,3.0831,101.5163,851,57,41,38,13,25,26,6,5,13,18,11,2.1737,Leisure & Lifestyle
Section 6,3.0821,101.5089,3033,56,26,25,9,22,11,2,0,14,8,12,2.0336,Leisure & Lifestyle
Section 7,3.0732,101.4924,44646,54,39,60,10,43,26,10,8,46,36,20,2.2326,Retail & Commerce
Section 8,3.09,101.5088,7440,54,15,17,5,22,5,1,0,4,9,10,1.8809,Leisure & Lifestyle
Section 9,3.0832,101.5283,6403,55,40,60,11,23,35,10,6,23,19,11,2.1827,Retail & Commerce
Section 10,3.0803,101.524,1072,60,49,60,14,26,50,21,7,23,48,19,2.2433,Business & Trade
Section 11,3.0744,101.5289,1793,52,30,48,7,24,46,16,2,23,41,21,2.2095,Business & Trade
Section 12,3.07,101.5357,1793,52,25,22,0,16,38,5,2,24,4,21,2.0327,Business & Trade
Section 13,3.0818,101.5394,18187,52,22,20,1,20,22,3,1,15,11,7,2.0256,Food & Beverage
Section 14,3.0714,101.5243,4198,60,42,55,8,26,59,26,13,40,47,21,2.2674,Business & Trade
Section 15,3.087,101.535,7453,41,20,28,1,19,29,6,0,12,8,2,1.9936,Business & Trade
Section 16,3.0568,101.502,19795,31,12,10,3,15,5,6,1,29,2,19,2.0558,Leisure & Lifestyle
Section 17,3.0463,101.5058,25008,51,26,18,2,16,8,0,3,30,12,21,2.0293,Retail & Commerce
Section 18,3.0481,101.5198,13193,60,42,49,5,24,16,9,4,44,14,20,2.1378,Business & Trade
Section 19,3.0484,101.5341,15583,60,31,38,4,22,6,4,0,41,21,20,2.0426,Leisure & Lifestyle
Section 20,3.0552,101.5391,11403,59,28,27,4,21,9,3,0,38,31,20,2.0639,Leisure & Lifestyle
Section 21,3.0563,101.5495,12832,37,14,11,2,7,4,0,0,28,15,15,1.9428,Community Services
Section 22,3.0504,101.5471,3273,39,16,11,1,18,6,1,0,32,10,17,1.9809,Community Services
Section 23,3.0465,101.5288,3407,60,34,39,4,23,7,2,0,35,19,20,2.0305,Leisure & Lifestyle
Section 24,3.0385,101.5185,18029,54,42,45,4,23,16,8,4,34,14,16,2.1411,Retail & Commerce
Section 25,3.0225,101.5385,38812,43,49,52,6,24,19,6,6,42,9,15,2.1344,Retail & Commerce
Section 26,3.0266,101.5622,13337,27,18,15,1,9,4,1,0,24,4,15,1.9792,Community Services
Section 27,3.0235,101.5713,21377,27,16,19,3,20,7,4,2,31,4,10,2.1091,Community Services
Section 28,3.0051,101.5602,12180,37,23,18,1,14,2,0,1,24,6,14,1.9413,Community Services
Section 29,3.1731,101.5138,3352,39,13,12,1,16,7,0,0,21,0,17,1.8512,Leisure & Lifestyle
Section 30,2.979,101.5184,20885,57,30,27,6,20,6,0,0,34,2,0,1.7745,Food & Beverage
Section 31,2.9864,101.5395,29228,43,13,17,3,20,8,1,1,26,2,11,1.9729,Community Services
Section 32,3.0062,101.5181,43792,26,9,8,0,16,1,1,1,27,0,9,1.7865,Community Services
Section 33,3.0214,101.5424,10040,36,38,35,4,19,8,5,3,37,5,13,2.081,Retail & Commerce
Section 34,3.0114,101.4997,3279,24,8,5,0,2,3,0,1,25,1,6,1.6927,Community Services
Section 35,3.0318,101.5124,9799,41,9,8,1,17,4,0,1,11,7,3,1.8243,Community Services
Section 36,3.0323,101.4899,12653,31,3,3,1,7,0,0,1,9,1,0,1.4103,Community Services
Section U1,3.0819,101.5604,20375,51,16,24,4,23,23,3,2,40,15,19,2.1221,Business & Trade
Section U2,3.0963,101.5568,14535,52,27,39,7,28,20,5,2,45,6,18,2.1131,Business & Trade
Section U3,3.1198,101.5635,14674,26,3,3,1,5,3,0,0,20,14,14,1.8319,Community Services
Section U4,3.1564,101.5598,4312,21,19,4,4,9,5,3,3,25,22,6,2.1131,Retail & Commerce
Section U5,3.1605,101.5491,60830,56,44,32,12,20,8,4,4,35,6,19,2.0997,Leisure & Lifestyle
Section U6,3.1385,101.5307,15058,43,22,13,6,11,10,6,1,38,5,15,2.0718,Leisure & Lifestyle
Section U7,3.1276,101.5449,7920,8,2,0,0,1,2,0,1,9,0,0,1.4319,Community Services
Section U8,3.1108,101.5469,12618,30,22,8,0,13,13,2,3,17,8,6,2.0696,Retail & Commerce
Section U9,3.13,101.5177,12555,15,8,6,1,7,2,3,0,21,1,6,1.9486,Community Services
Section U10,3.1367,101.4959,10346,25,10,1,2,18,2,0,0,0,1,5,1.5598,Community Services
Section U11,3.0952,101.5072,4047,28,9,5,2,10,1,0,0,2,3,7,1.7593,Community Services
Section U12,3.0845,101.4854,6151,51,24,20,3,21,8,0,0,26,6,0,1.8234,Food & Beverage
Section U13,3.0943,101.4443,86548,60,37,49,22,20,20,13,0,30,25,9,2.1668,Leisure & Lifestyle
Section U14,3.0878,101.4884,1003,42,12,9,0,20,9,1,0,11,3,0,1.7201,Food & Beverage
Section U15,3.1776,101.4621,5396,8,0,0,1,4,0,0,0,3,0,0,1.1803,Community Services
Section U16,3.1608,101.5122,28067,54,24,24,6,21,16,4,1,29,11,13,2.1116,Food & Beverage
Section U17,3.2203,101.4991,17410,20,2,2,0,3,0,1,0,12,0,6,1.5123,Community Services
Section U18,3.211,101.5344,7593,34,11,6,1,6,4,0,0,24,0,5,1.6797,Community Services
Section U19,3.2022,101.5642,20807,48,49,49,2,16,19,20,5,34,29,16,2.1794,Business & Trade
Section U20,3.2092,101.5425,24250,39,16,9,1,10,3,0,1,24,0,9,1.7776,Community Services
